title,outlet,date,url,category,covers_black_stops,covers_hispanic_stops,covers_immigration_ice,covers_287g,covers_search_rates,covers_arrest_rates,covers_contraband,covers_disparity_index,covers_agency_level,covers_discretionary_stops,primary_focus,what_it_does_not_cover
"A large-scale analysis of racial disparities in police stops across the United States",Nature Human Behaviour,2020-05-04,https://www.nature.com/articles/s41562-020-0858-1,Academic research,yes,yes,no,no,yes,no,no,no,no,no,"Stanford Open Policing Project; national analysis of 95M stops. Finds evidence of racial bias against Black and Hispanic drivers",Missouri-specific analysis; immigration enforcement; 287(g)
Missouri Attorney General releases report on race and traffic stops,St. Louis Post-Dispatch,2011-06-06,https://www.stltoday.com/news/local/metro/missouri-attorney-general-releases-report-on-race-and-traffic-stops/article_ae69040c-8c78-11e0-b052-0019bb30f31a.html,VSR coverage,yes,no,no,no,yes,no,yes,yes,no,no,Black-white disparity in stops and searches,Hispanic trends; arrest rates; agency-level analysis; discretionary stops
Group calling for changes to Missouri's racial profiling law,St. Louis Post-Dispatch,2012-05-30,https://www.stltoday.com/news/local/crime-courts/group-calling-for-changes-to-missouris-racial-profiling-law/article_abf030d8-abf3-11e1-b3ff-0019bb30f31a.html,VSR coverage,yes,no,no,no,no,no,no,yes,no,no,Advocacy for changes to racial profiling law,Hispanic trends; any data analysis; enforcement patterns
Missouri traffic stop report reveals racial disparity,MSNBC,2014-06-01,https://www.msnbc.com/msnbc/missouri-traffic-stop-report-reveals-racial-disparity-msna608106,VSR coverage,yes,no,no,no,yes,no,yes,yes,no,no,Black drivers 75% more likely to be stopped,Hispanic trends; arrest rates; agency-level detail; discretionary stops
Are The Racial Disparities In Ferguson's Traffic Stops Unusual?,FiveThirtyEight,2014-08-20,https://fivethirtyeight.com/features/are-the-racial-disparities-in-fergusons-traffic-stops-unusual/,VSR coverage,yes,no,no,no,yes,no,no,yes,yes,no,Ferguson PD in context of statewide data,Hispanic trends; post-stop outcomes beyond search rate
Missouri reaches 'record high' in traffic stop racial disparity,PoliticMo,2015-06-01,http://politicmo.com/2015/06/01/missouri-reaches-record-high-in-traffic-stop-racial-disparity-attorney-general-says/,VSR coverage,yes,no,no,no,yes,no,yes,yes,no,no,Record Black-white disparity post-Ferguson,Hispanic trends; discretionary stop categories; agency responses
Racial Disparities in Missouri Traffic Stops at All-Time High,Equal Justice Initiative,2015-06-01,https://eji.org/news/racial-disparities-in-missouri-traffic-stops-at-all-time-high/,VSR coverage,yes,no,no,no,yes,no,yes,yes,no,no,Black-white disparity at record levels,Hispanic trends; arrest rates; discretionary stops
"Blacks Are 75% More Likely To Be Pulled Over Than Whites In Missouri",Talking Points Memo,2015-06-01,https://talkingpointsmemo.com/news/missouri-police-racial-disparity-traffic-stops,VSR coverage,yes,no,no,no,yes,no,yes,yes,no,no,Black-white stop disparity,Hispanic trends; post-stop outcomes; agency-level
"In Missouri racial profiling of black drivers by police improves",Christian Science Monitor,2016-06-01,https://www.csmonitor.com/USA/Justice/2016/0601/In-Missouri-racial-profiling-of-black-drivers-by-police-improves,VSR coverage,yes,no,no,no,yes,no,no,yes,no,no,Slight improvement in Black-white disparity,Hispanic trends; arrest rates; contraband; agency-level
Missouri report on traffic stops revives call for anti-discrimination policies,STLPR,2018-06-04,https://www.stlpr.org/government-politics-issues/2018-06-04/missouri-report-on-traffic-stops-revives-call-for-anti-discrimination-policies,VSR coverage,yes,mentions search rate only,no,no,yes,no,no,yes,no,no,Black-white disparity; Fourth Amendment Affirmation Act,Hispanic stop/arrest trends; discretionary stops; agency comments
"Traffic stop report shows racial disparities as officials downplay numbers",Columbia Missourian,2018-06-05,https://www.columbiamissourian.com/news/local/traffic-stop-report-shows-racial-disparities-as-officials-downplay-numbers/article_6018752a-65ac-11e8-b3c1-d319bcc3cee9.html,VSR coverage,yes,no,no,no,yes,no,no,yes,yes,no,Boone County Black-white disparity; officials dismiss data,Hispanic trends; statewide trends; arrest rates
Missouri Police Stop Black Drivers At Higher Rates Than White Drivers,KCUR,2019-06-04,https://www.kcur.org/news/2019-06-04/missouri-police-stop-black-drivers-at-higher-rates-than-white-drivers,VSR coverage,yes,no,no,no,yes,no,no,yes,no,no,Black-white disparity statewide,Hispanic trends; post-stop outcomes; discretionary stops
Missouri Vehicle Stops Report Shows Continuing Disparities Between Black And White Drivers,STLPR,2019-05-31,https://www.stlpr.org/government-politics-issues/2019-05-31/missouri-vehicle-stops-report-shows-continuing-disparities-between-black-and-white-drivers,VSR coverage,yes,no,no,no,yes,no,no,yes,no,no,Black-white stop disparity,Hispanic trends; arrest rates; stop reasons; agency accountability
"Sunshine Requests for Vehicle Stop Databases denied. Lawsuit Filed.",GRAM,2019-11-13,https://jointhegram.org/2019/11/13/sunshine-requests-for-vehicle-stop-databases-showing-racial-disparities-in-missouri-denied-lawsuit-filed-november-13-2019/,VSR coverage,yes,no,no,no,no,no,no,no,no,no,Public records access to raw VSR data,All racial analysis; any statistical findings
"EDITORIAL: Attention is being paid to racial profiling. Is it enough?",Columbia Missourian,2020-01-09,https://www.columbiamissourian.com/opinion/guest_commentaries/editorial-attention-is-being-paid-to-racial-profiling-is-it/article_2658078c-2104-11ea-88f2-1fce58427101.html,VSR coverage,yes,no,no,no,no,no,no,yes,no,no,Editorial on whether data collection leads to reform,Hispanic trends; any statistical analysis
"Decades of Data Suggest Racial Profiling is Getting Worse Not Better",Flatland KC,2020-02-13,https://flatlandkc.org/stopped-profiling-the-police/decades-of-data-suggest-racial-profiling-is-getting-worse-not-better/,VSR coverage,yes,mentions arrest rate (9.9%) only,no,no,yes,yes,yes,yes,yes,no,"Most comprehensive investigation; 20 years of data. Notes Hispanic arrest rate 9.9% (higher than Black 9.1%) but does not investigate further",Hispanic stop trends; Hispanic per-capita; discretionary stops; 287(g)
"By the Numbers: The Missouri Vehicle Stops Report",Empower Missouri,2020-06-15,https://empowermissouri.org/by-the-numbers-the-missouri-vehicle-stops-report/,VSR coverage,yes,mentions search rate,no,no,yes,no,yes,yes,no,no,"19-year overview of Black-white disparities; policy advocacy. Notes Hispanic/Black search rates exceed white",Hispanic stop trends; Hispanic per-capita; discretionary stops; agency-level; 287(g)
Black Drivers In Missouri Far More Likely To Be Stopped By Police Than White Drivers,KCUR,2021-06-04,https://www.kcur.org/news/2021-06-04/black-drivers-in-missouri-far-more-likely-to-be-stopped-by-police-than-white-drivers,VSR coverage,yes,no,no,no,yes,no,no,yes,no,no,Black-white disparity statewide,Hispanic trends; post-stop outcomes; discretionary stops
Report: Traffic stop disparity in Missouri remains,Jefferson City News-Tribune,2021-06-02,https://www.newstribune.com/news/2021/jun/02/Report-Traffic-stop-disparity-remains/,VSR coverage,yes,no,no,no,no,no,no,yes,no,no,Black-white disparity persists,Hispanic trends; any detailed analysis
"If Everybody's White There Can't Be Any Racial Bias: The Disappearance of Hispanic Drivers From Traffic Records",ProPublica,2021-11-22,https://www.propublica.org/article/if-everybodys-white-there-cant-be-any-racial-bias-the-disappearance-of-hispanic-drivers-from-traffic-records,National investigation,no,yes,yes,no,no,no,no,no,yes,no,"National investigation into misclassification of Hispanic drivers as white on traffic tickets. Louisiana/Texas focus, not Missouri",Missouri-specific data; VSR analysis; 287(g)
"2021 Vehicle Stops Report reveals Black drivers in Missouri are stopped more often",Columbia Missourian,2022-06-08,https://www.columbiamissourian.com/news/state_news/2021-vehicle-stops-report-reveals-black-drivers-in-missouri-are-stopped-more-often/article_b654b0dd-fe14-5482-9f45-5a8019745b2f.html,VSR coverage,yes,no,no,no,yes,no,no,yes,no,no,Black-white disparity in 2021 data,Hispanic trends; arrest rates; discretionary stops
"New vehicle stop report reveals old patterns in disparities against Black drivers",KOMU,2022-06-10,https://www.komu.com/news/state/new-vehicle-stop-report-reveals-old-patterns-in-disparities-against-black-drivers/article_5f8c8238-e125-11ec-a4f9-973bd1862c62.html,VSR coverage,yes,no,no,no,yes,no,no,yes,no,no,Black-white disparity continues,Hispanic trends; post-stop outcomes; agency-level
"Black Missouri drivers 91% more likely to be stopped state attorney general finds",PBS NewsHour,2022-06-10,https://www.pbs.org/newshour/nation/black-missouri-drivers-91-more-likely-to-be-stopped-state-attorney-general-finds,VSR coverage,yes,no,no,no,yes,no,no,yes,no,no,Black-white disparity at 91%,Hispanic trends; post-stop outcomes; agency-level
"Report shows Black drivers in Missouri more likely to be ticketed arrested",Missouri Independent,2023-06-03,https://missouriindependent.com/2023/06/03/report-shows-black-drivers-in-missouri-ticketed-arrested-at-much-higher-numbers-than-whites/,VSR coverage,yes,mentions citation rate (50.4%) only,no,no,yes,yes,yes,yes,no,no,"Black-white disparity in 2022 data. Notes Hispanic citation rate 50.4% but doesn't investigate",Hispanic stop trends; Hispanic per-capita; discretionary stops; 287(g)
"Missouri police continue to disproportionately pull over Black motorists",STLPR,2023-06-08,https://www.stlpr.org/law-order/2023-06-08/missouri-police-continue-to-disproportionately-pull-over-black-motorists,VSR coverage,yes,no,no,no,yes,no,yes,yes,no,no,Black-white stop and search disparities in 2022 data,Hispanic trends; arrest rates; discretionary stops
"Messenger: Settlement in St. Louis County sheds light on annual racial profiling report",St. Louis Post-Dispatch,2023-06-08,https://www.stltoday.com/news/local/metro/messenger-settlement-in-st-louis-county-sheds-light-on-annual-racial-profiling-report-in-missouri/article_1ce09608-0614-11ee-b54a-3391ae603562.html,VSR coverage,yes,no,no,no,no,no,no,yes,yes,no,St. Louis County consent decree and VSR context,Hispanic trends; statewide trends; discretionary stops
"Missouri AG criticized for removing racial 'disparity index' from vehicle stops report",St. Louis Post-Dispatch,2024-08-16,https://www.stltoday.com/news/local/government-politics/missouri-ag-criticized-for-removing-racial-disparity-index-from-vehicle-stops-report/article_0f8c58f6-5bdc-11ef-ba59-671894889699.html,VSR coverage,yes,no,no,no,no,no,no,yes,no,no,AG removed disparity index from 2023 report,Hispanic trends; any statistical analysis of underlying data
New Missouri Gov. Mike Kehoe issues orders to increase arrests and track undocumented migrants,KCUR,2025-01-14,https://www.kcur.org/politics-elections-and-government/2025-01-14/new-missouri-gov-mike-kehoe-issues-orders-to-increase-arrests-and-track-undocumented-migrants,Immigration enforcement,no,no,yes,no,no,no,no,no,no,no,Governor's executive orders on immigration enforcement,Traffic stop data; VSR; racial profiling data
Missouri bill putting a bounty on undocumented immigrants faces fierce resistance,Missouri Independent,2025-01-28,https://missouriindependent.com/2025/01/28/missouri-bill-putting-a-bounty-on-undocumented-immigrants-faces-fierce-resistance/,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,SB72 offering $1000 reward for reporting undocumented people,Traffic stop data; VSR; policing patterns
"Missouri's local economies are paying the price of immigration enforcement fears",KCUR,2025-03-05,https://www.kcur.org/news/2025-03-05/missouri-ice-raids-immigration-deportation-economy-fear,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,Economic impact of ICE fears on Hispanic businesses and workers,Traffic stop data; VSR; policing patterns; 287(g) specifics
MSHP one of two Missouri law enforcement agencies in ICE program,ABC17,2025-04-15,https://abc17news.com/news/missouri/2025/04/15/mshp-one-of-two-missouri-law-enforcement-agencies-in-ice-program/,287(g) coverage,no,no,yes,yes,no,no,no,no,no,no,MSHP signs first Missouri 287(g),Traffic stop data; racial disparities; VSR
"'Bring Carol home:' ICE snatches rural Missouri mom at immigration check-in",STLPR,2025-05-24,https://www.stlpr.org/law-order/2025-05-24/missouri-kennett-woman-ice-deportation-visa,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,Individual deportation case in Kennett MO,Traffic stop data; systemic patterns; VSR
"NAACP lawsuit accuses Missouri AG of illegally withholding info on police vehicle stops",Missouri Independent,2025-05-29,https://missouriindependent.com/2025/05/29/naacp-lawsuit-accuses-missouri-ag-of-illegally-withholding-info-on-police-vehicle-stops/,VSR coverage,yes,no,no,no,no,no,no,yes,no,no,NAACP suing AG over removed disparity index,Hispanic trends; any statistical analysis; 287(g) context
ICE offers incentives to Midwest police raising civil rights worries,KCUR,2025-09-22,https://www.kcur.org/news/2025-09-22/ice-police-midwest-immigration-raids-civil-rights,287(g) coverage,no,yes,yes,yes,no,no,no,no,no,no,ICE incentives for local police cooperation in Midwest,Traffic stop data; VSR; racial disparities in stops
"Alliance helps detained immigrants with legal resources and community support",KY3,2025-10-17,https://www.ky3.com/2025/10/17/alliance-helps-detained-immigrants-with-legal-resources-community-support/,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,SMIA providing support to detained immigrants in SW Missouri,Traffic stop data; VSR; policing patterns
"Raid part of immigration crackdown St. Louis attorney says",STLPR,2025-11-03,https://www.stlpr.org/show/st-louis-on-the-air/2025-11-03/immigration-raid-st-louis-targeted-food-workers-attorney-larger-crackdown,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,Immigration raid targeting food workers in St. Louis,Traffic stop data; VSR; systemic patterns
"Immigration advocacy group to co-host vigil honoring detained Missouri resident",KSMU,2025-12-11,https://www.ksmu.org/news/2025-12-11/immigration-advocacy-group-to-co-host-vigil-honoring-detained-missouri-resident,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,SMIA vigil for detained resident,Traffic stop data; VSR; policing patterns
"NAACP settles lawsuit with Missouri attorney general over vehicle stops report",ABC17,2025-12-29,https://abc17news.com/news/missouri/2025/12/29/naacp-settles-lawsuit-with-missouri-attorney-general-over-vehicle-stops-report/,VSR coverage,yes,no,no,no,no,no,no,yes,no,no,Settlement restoring disparity index,Hispanic trends; any analysis of underlying data
"More Missouri law enforcement agencies have joined ICE immigration partnership since April 2025",ABC17,2026-01-16,https://abc17news.com/news/missouri/2026/01/16/more-missouri-law-enforcement-agencies-have-joined-ice-immigration-partnership-since-april-2025/,287(g) coverage,no,no,yes,yes,no,no,no,no,yes,no,39 Missouri agencies with 287(g) as of Jan 2026,Traffic stop data; VSR; racial disparities
ICE arrests surge in Kansas City metro following Trump immigration orders,KCTV5,2026-01-24,https://www.kctv5.com/2026/01/24/ice-arrests-surge-kansas-city-metro-following-trump-immigration-orders/,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,ICE arrest surge in KC metro,Traffic stop data; VSR; systemic patterns
"Organizers train residents on responding to ICE",KSMU,2026-02-02,https://www.ksmu.org/news/2026-02-02/organizers-train-residents-on-responding-to-ice,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,SMIA know-your-rights training in Springfield,Traffic stop data; VSR; policing patterns
"Police partnerships with ICE on the rise in Missouri",Spectrum News,2026-02-13,https://spectrumnews1.com/oh/toledo/news/2026/02/13/missouri-ice-mshp-st-louis-st-charles,287(g) coverage,no,no,yes,yes,no,no,no,no,yes,no,287(g) expansion in Missouri; MSHP operational details,Traffic stop racial disparities; VSR data
"Little-used ICE agreements with local police have exploded under Trump",NPR,2026-02-17,https://www.npr.org/2026/02/17/nx-s1-5707449/local-police-immigration-cooperation-287g,287(g) coverage,no,no,yes,yes,no,no,no,no,no,no,National 287(g) expansion story,Missouri-specific data; VSR; traffic stop disparities
"Missouri's Hispanic residents rally in capital to 'speak up more for ourselves' amid ICE fears",KCUR,2026-02-18,https://www.kcur.org/politics-elections-and-government/2026-02-18/missouri-hispanic-capitol-day-ice-immigration-enforcement,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,Hispanic advocacy day at Missouri Capitol,Traffic stop data; VSR; policing patterns
"Traffic stop lands St. Louis County man in ICE custody. Next stop: rural jail",STLPR,2026-02-18,https://www.stlpr.org/law-order/2026-02-18/ofallon-traffic-stop-lands-st-louis-county-man-ice-custody,Traffic stop to ICE,no,yes,yes,no,no,no,no,no,yes,no,"Victor López Delara stopped by O'Fallon PD for no front plate, transferred to ICE",Systemic data; VSR; statewide patterns; other agencies
"Traffic stop lands a Missouri man in ICE custody: 'He's no threat to anybody'",KCUR,2026-02-19,https://www.kcur.org/news/2026-02-19/victor-lopez-delara-ice-custody-traffic-stop,Traffic stop to ICE,no,yes,yes,no,no,no,no,no,yes,no,"López Delara case — no criminal history, DACA-eligible, detained from traffic stop",Systemic data; VSR; statewide patterns; enforcement trends
"ICE offering local police cars cash and training to help enforce immigration law",First Alert 4 / KMOV,2026-02-25,https://www.firstalert4.com/2026/02/26/ice-offering-local-police-cars-cash-training-help-enforce-immigration-law-advocates-fear-profiling-over-policing/,287(g) coverage,no,yes,yes,yes,no,no,no,no,yes,no,"Financial incentives for 287(g); MICA 90% stat; Creve Coeur stop documented; Washington County sheriff on record",VSR data; statewide stop/arrest trends; discretionary stop analysis
"Resistance in a Red State: Jail Support for Immigrants Held in Missouri",The Appeal / Public i,2026-03-01,https://publici.ucimc.org/2026/03/resistance-in-a-red-state-jail-support-for-immigrants-held-in-missouri/,Immigration impact,no,yes,yes,no,no,no,no,no,yes,no,"Abide in Love jail support in Phelps County and Ste. Genevieve; SMIA organizing",Traffic stop data; VSR; policing patterns
"Immigration researcher sees ICE trends playing out in Missouri",STLPR,2026-03-11,https://www.stlpr.org/government-politics-issues/2026-03-11/immigration-enforcement-researcher-287-agreements,287(g) coverage,no,no,yes,yes,no,no,no,no,no,no,Austin Kocher on 287(g) risks in Missouri,Traffic stop data; VSR; racial disparities
"Missouri police that sign new ICE agreements face political backlash and expensive lawsuits",KCUR,2026-03-18,https://www.kcur.org/news/2026-03-18/missouri-police-ice-deportation-immigration-enforcement,287(g) coverage,no,yes,yes,yes,no,no,no,no,no,no,"60+ agreements; backlash; O'Fallon and St. Ann cases referenced",VSR data; statewide stop/arrest trends; discretionary stops
"ICE researcher warns of risks for local police signing onto new agreements with agency",KBIA,2026-03-18,https://www.kbia.org/missouri-news/2026-03-18/ice-researcher-warns-of-risks-for-local-police-signing-onto-new-agreements-with-agency,287(g) coverage,no,no,yes,yes,no,no,no,no,no,no,Austin Kocher warns about 287(g) profiling risks,Traffic stop data; VSR; Missouri-specific enforcement data
"St. Charles County police now have a formal partnership with ICE",STLPR,2026-03-31,https://www.stlpr.org/government-politics-issues/2026-03-31/st-charles-county-immigration-287g-ice-bill-passes,287(g) coverage,no,no,yes,yes,no,no,no,no,yes,no,St. Charles County unanimously approves 287(g),Traffic stop data; VSR; Hispanic stop trends in St. Charles County
"Hundreds of immigrants fill Missouri jails after ICE arrests",Columbia Missourian,2026-03-31,https://www.columbiamissourian.com/news/state_news/hundreds-of-immigrants-fill-missouri-jails-after-ice-arrests/article_6311dbdb-b45b-4002-b215-626092832b98.html,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,Scale of ICE detention in Missouri jails,Traffic stop data; VSR; how detainees entered the system
"Immigration raid in a rural Missouri town left families and businesses in financial pain",KCUR,2026-04-02,https://www.kcur.org/housing-development-section/2026-04-02/immigration-raid-rural-missouri-milan-deportation-ice,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,Milan MO raid; economic devastation; 50% Hispanic town,Traffic stop data; VSR; policing patterns; 287(g)
"He posted bail for a traffic violation. St. Charles' jail turned him over to ICE anyway",STLPR,2026-02-27,https://www.stlpr.org/law-order/2026-02-27/st-charles-police-traffic-ice-detention,Traffic stop to ICE,no,yes,yes,no,no,no,no,no,yes,no,"Man stopped by St. Ann PD transferred to St. Charles County; paid $450 bail but ICE took him instead of releasing",VSR data; statewide patterns; systemic analysis
"He posted bail for a traffic violation. A Missouri jail turned him over to ICE anyway",KCUR,2026-03-03,https://www.kcur.org/news/2026-03-03/missouri-ice-jail-traffic-violation-jose-morales-calderon,Traffic stop to ICE,no,yes,yes,no,no,no,no,no,yes,no,Same bail/ICE case; Jose Morales Calderon named,VSR data; statewide patterns; systemic analysis
"St. Charles County introduces bill to create a partnership between police and ICE",STLPR,2026-03-10,https://www.stlpr.org/government-politics-issues/2026-03-10/st-charles-county-police-ice-partnership,287(g) coverage,no,no,yes,yes,no,no,no,no,yes,no,St. Charles County considering 287(g); community opposition,Traffic stop data; VSR; racial disparities
"St. Charles County unanimously approved ICE partnership",Spectrum News,2026-03-31,https://spectrumlocalnews.com/mo/st-louis/news/2026/03/31/st-charles-county-police-st-charles-county-council-ice-287g-contract,287(g) coverage,no,no,yes,yes,no,no,no,no,yes,no,St. Charles County 287(g) approved 7-0; packed meeting; no council discussion before vote,Traffic stop data; VSR; racial disparities
"St. Charles County ICE bill passes the council 7-0",KSDK,2026-03-31,https://www.ksdk.com/article/news/politics/st-charles-county-to-vote-on-police-training-with-federal-immigration-agents/63-eb0d39b1-f55b-4116-b423-669d539c0657,287(g) coverage,no,no,yes,yes,no,no,no,no,yes,no,St. Charles County 287(g) vote coverage,Traffic stop data; VSR; racial disparities
"Branson board of aldermen approve contract with DHS for ICE enforcement",KY3,2026-02-11,https://www.ky3.com/2026/02/11/branson-board-aldermen-approve-contract-with-department-homeland-security-ice-enforcement/,287(g) coverage,no,yes,yes,yes,no,no,no,no,yes,no,Branson approves 287(g); community opposition; tourism economy concerns,Traffic stop data; VSR; racial disparities in Taney County
"Branson police join with ICE; community members speak out in protest",People's World,2026-02-12,https://www.peoplesworld.org/article/branson-police-join-with-ice-community-members-speak-out-in-protest/,287(g) coverage,no,yes,yes,yes,no,no,no,no,yes,no,"Branson 287(g) vote; Chief Schmitt claimed gang presence but 'couldn't prove' it; Latino community pleaded for safety; unanimous vote",Traffic stop data; VSR; racial disparities
"Branson partners with ICE faces frustrated community",Spectrum News,2026-02-12,https://spectrumlocalnews.com/mo/st-louis/news/2026/02/12/branson-police-287g-ice-tourism,287(g) coverage,no,yes,yes,yes,no,no,no,no,yes,no,Branson 287(g) and tourism economy tension,Traffic stop data; VSR
"Branson Missouri's police chief talks ICE agreement",Missourinet,2026-02-20,https://www.missourinet.com/2026/02/20/branson-missouris-police-chief-talks-ice-agreement/,287(g) coverage,no,no,yes,yes,no,no,no,no,yes,no,Branson police chief defends 287(g),Traffic stop data; VSR; racial disparities
"DOJ: Ferguson Police Routinely Discriminate Against African Americans",NPR,2015-03-04,https://www.npr.org/2015/03/04/390606464/doj-ferguson-police-routinely-discriminate-against-african-americans,Ferguson/DOJ,yes,no,no,no,yes,yes,no,no,yes,no,"DOJ Ferguson report: 85% of stops were Black; 93% of charges were Black; revenue-driven policing",Hispanic trends; immigration; statewide VSR patterns
"Justice Department Announces Findings of Two Civil Rights Investigations in Ferguson",DOJ,2015-03-04,https://www.justice.gov/archives/opa/pr/justice-department-announces-findings-two-civil-rights-investigations-ferguson-missouri,Ferguson/DOJ,yes,no,no,no,yes,yes,no,no,yes,no,Official DOJ announcement of Ferguson findings,Hispanic trends; immigration; statewide patterns
"Ferguson Police Routinely Discriminate Against African Americans — DOJ Report finds pattern of racial bias",Washington Post,2015-03-04,https://www.washingtonpost.com/world/national-security/justice-dept-review-finds-pattern-of-racial-bias-among-ferguson-police/2015/03/03/27535390-c1c7-11e4-9271-610273846239_story.html,Ferguson/DOJ,yes,no,no,no,yes,yes,no,no,yes,no,DOJ Ferguson findings; revenue-driven discrimination,Hispanic trends; immigration; statewide patterns
"How Ferguson's tickets fines violated rights of blacks",CNN,2015-03-06,https://www.cnn.com/2015/03/06/us/ferguson-missouri-racism-tickets-fines/index.html,Ferguson/DOJ,yes,no,no,no,no,yes,no,no,yes,no,Ferguson fines and fees as instrument of discrimination,Hispanic trends; immigration; statewide patterns
"Ferguson Missouri Under Fire for Revenue-based Criminal Justice System",Prison Legal News,2016-12-08,https://www.prisonlegalnews.org/news/2016/dec/8/ferguson-missouri-under-fire-revenue-based-criminal-justice-system/,Ferguson/DOJ,yes,no,no,no,no,yes,no,no,yes,no,Revenue-driven policing in Ferguson,Hispanic trends; immigration; statewide VSR patterns
"Dismantling Policing for Profit: How to Build on Missouri's Post-Ferguson Court Reforms",Fines and Fees Justice Center,2020-01-01,https://finesandfeesjusticecenter.org/articles/dismantling-policing-for-profit-how-to-build-on-missouris-post-ferguson-court-reforms/,Ferguson/DOJ,yes,no,no,no,no,no,no,no,yes,no,Post-Ferguson reforms; 20% revenue cap; ongoing issues,Hispanic trends; immigration; traffic stop racial data
